Image;Temps (s);Texte
0.jpg;4.89;WAL*MART ALWAYS LOW PRICES. Almoys SUPERCENTER OPEN 24 HOURS MANAGER : TBA ( 515 ) 986 - 1783 ST# 5748 OP# 00000158 TE# 14 TR# 03178 BANANAS 000000004011KF 0.41 lb - 1 lb /0.49 0.20 N FRAP 001200010451 F 5.48 N DISCOUNT GIVEN 0.57 SUBTOTAL 5.11 TOTAL 5.11 CASH TEND 11.00 CHANGE DUE 5.89 # ITEMS SOLD 2 TC# 5679 8348 6485 7828 2003 THANK YOU FOR SHOPPING WITH US NATHANIEL BUSH Your Back Shop to at School Walmart & Get 08/20/10 13:12:01 List for Less. 
1.jpg;8.48;TRADER JOE'S 2001 Greenville Ave Dallas TX 75206 Store #403 - (469) 334-0614 OPEN 8:00AM TO 9:00PM DAILY R-CARROTS SHREDDED 10 OZ 1.29 R-CUCUMBERS PERSIAN 1 LB 1.99 TOMATOES CRUSHED NO SALT 1.59 TOMATOES WHOLE NO SALT W/BASIL 1.59 ORGANIC OLD FASHIONED OATMEAL 2.69 MINI-PEARL TOMATOES.. LITE T 2.49 3.99 PKG SHREDDED MOZZARELLA BROWN. 3.79 EGGS 1 DOZ ORGANIC 0.89 BEANS GARBANZO 2.99 SPROUTED CA STYLE 3.99 A-AVOCADOS HASS BAG 4CT A-APPLE BAG JAZZ 2 LB 2.99 A-PEPPER BELL EACH XL RED 0.99 GROCERY NON TAXABLE 0.98 2 @ 0.49 0.87 BANANAS ORGANIC 3EA @ 0.29/EA BUTTER 2.49 CREAMY SALTED PEANUT 1.69 WHL WHT PITA BREAD 1.38 GROCERY NON TAXABLE 2 @ 0.69 $38.68 SUBTOTAL $38.68 TOTAL $40.00 CASH $1.32 CHANGE Higgins, Ryan ITEMS 22 12:34PM 0403 04 1346 4683 06-28-2014 THANK YOU FOR SHOPPING AT TRADER JOE'S www.traderjoes.com 
10.jpg;11.99;SPAR @ Tel : 036-4481240 email : bergsparttelkomsa.net VAT No : 4450102696 NLA REG NO: KZN 032577 R LAZENBY WORCESTER SAUCE 125ML 17.99 A MILKY BAR CHOC 80GR 16.99 A SMOKED VIENNAS 500GR 33.99 A PEALED PEACHES 400G 82.99 A MEDITERRANEAN MIX 1KG 44.99 * SPAR COOKING OIL 375ML 14.99 * F/L ENGLISH CUCUMB 1'S 12.99 * NESTLE AERO 85GR 20.99 A CADBURY DAIRY MI 80GR 16.99 A GRAPES MIXED TUB TUB 24.99 * TASTIC RICE 500GR 11.99 * BLACK CAT SMOOTH 270GR 27.99 A CARRIER BAG 24L 1'S 0.75 A BANANAS LOOSE 17KG 0.596kg @ 15.99 R /kg 9.53 * TOTAL FOR 14 ITEMS 338.16 TENDERED Nedbank 338.16 TAX INVOICE VAT rate excl. TAX incl. 0.00% 119.48 0.00 119.48 * 15.00% 190.16 28.52 218.68 A SLIP / TILL / CASHIER / DATE / TIME 3780 005 101 23.02.21 16:17 CASHIER NAME: SWAZI Please Retain Slip Thank You For Shopping With Us! :) Follow us on Facebook: Spar Bergville 
11.jpg;7.36;WHOLE FOODS .  - SHARON RD. PL TORTILLAS 6.99 B CAGE FREE ALL WHIT 3.69 B BLACK BEANS 1.29 B Frozen Mangoes 160 2.99 B Whole Strawberries 2.99 B OG LF COTTAGE CHEE 3.49 B MAHI MAHI FILLETS 8.99 B *VC $2 off (1) WC Fill 2.00- * California Harvest 2.69 B 1.08 lb @ 1.99 /Ib TARE a .01 *WT PLUMS BLACK CV 2.15 B ITEM a 4040 NHP OLICED OVEN RO 3.99 B NHP SLICED HICKORY 3.99 B 1.64 lb @ 1.99 /Ib TARE = 01 WT GALA APPLES OG 3.26 B ITEM i 94135 **** TAX 93 BAL 45.44 
12.jpg;7.4;WAL*MART Save money. Live better. WE SELL FOR LESS ALWAYS MANAGER DAPHNE SESSION ( 636 ) 536 - 4601 CHESTERFIELD,MO 63005 ST# 2600 OP# 00001855 TE# 17 TR# 03359 SW FIGURES 065356920144 6.63 X TOOTHBRUSH 003500055500 0.96 X SUBTOTAL 7.59 WOMEN SLIPPE 009725614790 9.86 X SUBTOTAL 17.45 TAX 1 3.100- % 0.54 TAX 3 4.350 % 0.76 TOTAL 18.75 MCARD TEND 18.75 ACCOUNT #3546 APPROVAL #007190 TRANS ID - VALIDATION - PAYMENT SERVICE - A CHANGE DUE 0.00 # ITEMS SOLD 3 TC# 9489 7094 6487 3073 3651 Wal-Mart exclusive Eagles CD available October 30th! 10/20/07 13:48:43 ***CUSTOMER COPY*** 
13.jpg;8.25;LD H: LISWOYBKCW Walmart t* Save money. Live better. ( 843 ) 292 - 0362 MANAGER MECHAEL EIGHARD 2014 S IRBY ST FLORENCE SC 29505 S1# 02703 OP# 009049 TEW 49 IR# 0/142 GIFT CARD 087458604383 50.00 0 SUBTOTAL 50.00 TOTAL 50.00 CASH ND 60.00 CHANCE DUE 10.00 SHOP.CARD ACTIVATION 50.00 ACCOUNT 613968546249/292 APPR CODE - 792986 REF 10083742 Beg Bal Tran Aml End Bal 0.00 50.00 50.00 08/11/17 19:19:31 ICH 9/36 5895 9237 2333 1932 Low Prices You Can Trust. Every Day. 08/11/17 191 22:40 Store receipts or your mone. Walmart P ay. 
14.jpg;10.11;See back of receipt for your chance to win $1000 ID #: 7LORX4K8PJX Walmart Save money. Live better. ( 937 ) 644 - 2800 MANAGER CHRISTOPHER WOOD 555 COLEMANS CROSSING BLVII MARYSVILLE OH TE# 43040 10 TR# 08890 ST# 01595 OP# 007573 3.88 X EQUATE LINER 068113186503 F 7.48 N VFUS ENG POM 005100024543 5.97 X DAWN ORIG 003700011045 1.12 X 50YD PKGTAPE 007535307841 1.12 X 50YD PKGTAPE 007535307841 5.78 X LINT ROLLER2 005114123488 25.35 SUBTOTAL TAX 1 7.000 % 1.25 TOTAL 26.60 DEBIT TEND 26.60 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 26.60 TOTAL PURCHASE **** **** **** 8371 S ACCOUNT # REF # 712400283994 ID. 0069 APPR CODE 868483 NETWORK TERMINAL # SC010087 ure 05/04/17 19:54:16 10 # ITEMS SOLD 6 TC# 7535 0523 2384 1061 368 05/04/17 19:54:18 Store receipts on your phone. Walmart P ay. 
15.jpg;9.75;See to back of receipt for your chance win $1000 ID #: 7JYY2JWOK3Y Walmart Save money. Live better. ( 714 ) 799 - 0020 MANAGER YVONNE THOMAS 13331 BEACH BLVD WESTMINSTER CA 92683 TR# 01526 ST# 02495 OP# 006969 TE# 79 12.58 N DIABETES 068113131172H 12.58 SUBTOTAL TOTAL 12.68 VISA TEND 12.68 Visa Credit **** **** **** 3670 I1 AHI APPROVAL # 222235 REF. # 620500604401 TRANS ID - 586205139884060 VALIDATION - 76LK PAYMENT SERVICE - E - a AID A0000000031010 TC 9E0FAC9A809E6D92 TERMINAL # 281767447 *NO SIGNATURE REQUIRED 07/22/16 20:53:11 CHANGE DUE 0.00 # ITEMS SOLD 1 TC# 7503 0129 1089 7649 4115 Low Prices You Can Trust. Every Day, 07/22/16 20:53:11 ***CUSTOMER COPY*** Savings Catcher! Scan with Walmart app 
16.jpg;10.41;See back of receipt for your chance to win $1000 ID #: 7L2T9WJM25F Walmart Save money. Live better. ( 701 ) 223 - 3066 MANAGER TIM MORRIS 2717 ROCK ISLAND PL BISMARCK ND 58504 ST# 01534 OP# 009048 TE# 48 TR# 04455 6 WING PLATE 020108870398 3.98 P ASST 27 063099656595 4.88 X CUTIE CAR 063099656644 12.88 X SUBTOTAL 21.74 TAX 1 6.500 % 1.15 TAX 4 7.500 % 0.30 TOTAL 23.19 DEBIT TEND 23.19 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 23.19 TOTAL PURCHASE US DEBIT **** **** **** 2696 I 0 REF # 731700494718 NETWORK ID. 0081 APPR CODE 936886 US DEBIT AID A0000000980840 TC 58B77239DA5B3B44 *NO SIGNATURE REQUIRED TERMINAL # SC011090 11/13/17 12:34:04 # ITEMS SOLD 3 TC# 2188 7274 6444 1567 3762 Low Prices You Can Trust. Every Day. 11/13/17 12:34:11 Store receipts on your phone. Walmart P ay. 
17.jpg;19.37;See back of receipt for your chance to win $1000 ID #: 7KZGF1SL2FF Walmart Save money. Live better. ( 970 ) 259 - 8755 MANAGER MIKE NEIDLINGER 1155 S CAMINO DEL RIO DURANGO CO 81303 ST# 02270 OP# 000144 TE# 02 TR# 03080 BANANAS 000000004011KI 1.75 lb @ 1 lb /0.54 0.95 R BEVERAGE 003120002133 F 2.00 R OS CRAN POM 003120027015 2.00 R STRWBRY CC 076471782200 E 0.96 Y CAMPARI TOM 073447501213 I 2.98 R KFT SINGLES 002100061526 F 3.78 Y 44500982114 004450098211 F 3.98 Y HARD SALAMI 020533960343 F 3.43 Y AVOCADO 000000004046KI 4 AT 1 FOR 0.44 1.76 PILLS WHITE 068113113619 F 1.00 F SH NYLON COL 007417024836 2.97 X HAND CLEANER 004125100005 1.67 X INJECTR CLNR 004980710003 8.87 X SUBTOTAL 36.35 TAX 7.900 % 1.07 TAX 5.000 % 1.14 TAX 2.900 % I 0.12 TOTAL 38.68 CASH TEND 40.68 CHANGE DUE 2.00 # ITEMS SOLD 16 TC# 3041 7466 0669 7952 272 01/15/17 14:26:03 - 
