Image;Temps (s);Texte
0.jpg;4.96;WAL*MART ALWAYS LOW PRICES. Always SUPERCENTER OPEN 24 HOURS MANAGERTBA 515986-1783 ST#57480P#00000158TE#14TR#03178 BANANAS 000000004011KF 0.411b 11b /0.49 0.20N FRAP 001200010451F 5.48N DISCOUNT GIVEN 0.57 SUBTOTAL 5.11 TOTAL 5.11 CASHTEND 11.00 CHANGE DUE 5.89 #ITEMS SOLD2 TC#.56798348648578282003 THANK YOU FOR SHOPPING WITH US NATHANIEL BUSH Shop at Walmart & Get Your Back to School List for Less 08/20/10 13:12:01 
1.jpg;5.76;TRADER JOE'S 2001 Greenvi1le Ave Dallas TX 75206 Store #403-469334-0614 OPEN 8:0OAM TO 9:OOPM DAILY 1.29 R-CARROTS SHREDDED 10 OZ 1.99 R-CUCUMBERS PERSIAN 1 LB 1.59 TOMATOES CRUSHED NO SALT 1.59 TOMATOES WHOLE NO SALT W/BASIL 2.69 ORGANIC OLD FASHIONED OATMEAL 2.49 MINI-PEARL TOMATOES. 3.99 PKG SHREDDED MOZZARELLA LITE T 3.79 EGGS 1 DOZ ORGANIC BROWN 0.89 BEANS GARBANZO 2.99 SPROUTED CA STYLE 3.99 A-AVOCADOS HASS BAG 4CT 2.99 A-APPLE BAG JAZZ 2 LB 0.99 A-PEPPER BELL EACH XL RED 0.98 GROCERY NON TAXABLE 2@0.49 0.87 BANANAS ORGANIC 3EA@0.29/EA 2.49 CREAMY SALTED PEANUT BUTTER 1.69 WHL WHT PITA BREAD 1.38 GROCERY NON TAXABLE 2@0.69 $38.68 SUBTOTAL $38.68 TOTAL $40.00 CASH $1.32 CHANGE Higgins,Ryan ITEMS 22 06-28-2014 12:34PM 0403 04 1346 4683 THANK YOU FOR SHOPPING AT TRADER JOE'S www.traderjoes.com 
10.jpg;6.76;SPAR Te1036-4481240 email :bergspar@telkomsa.net VAT No4450102696 NLA REG NOKZN 032577 17.99 A LAZENBY WORCESTER SAUCE 125ML 80GR 16.99 A MILKY BAR CHOC 500GR 33.99 A SMOKED VIENNAS 400G 82.99A PEALED PEACHES 1KG 44.99* MEDITERRANEAN MIX 375ML 14.99 * SPAR COOKING OIL 1'S 12.99* F/L ENGLISH CUCUMB 85GR 20.99A NESTLE AERO 80GR 16.99 A CADBURY DAIRY MI TUB 24.99* GRAPES MIXED TUB 500GR 11.99* TASTIC RICE 270GR 27.99 A BLACK CAT SMOOTH CARRIER BAG 24L 1'S 0.75 A BANANAS LOOSE 17KG 0.596kg@ 15.99R /kg 9.53* TOTAL FOR 14 ITEMS 338.16 TENDERED Nedbank 338.16 TAX INVOICE VAT rate excl. TAX incl. 0.00% 119.48 0.00 119.48* 15.00% 190.16 28.52 218.68 A SLIP TILL /CASHIER DATE TIME 3780 005 101 23.02.21 16:17 CASHIER NAME:SWAZI Please Retain Slip Thank You For Shopping With Us) Follow us on Facebook: Spar Bergville 
11.jpg;5.17;WHOLE FOODS MARRKET SHARON RD. PL TORTILLA'S 6.99B CAGE FREE ALL WHIT 3.69B BLACK BEANS 1.29B Frozen Mansoes 160 2.99B Whole Strawberries 2.99B 1 OG LF COTTAGE CHEE 3.49B * MAHI MAHI FILLETS 8.99B #VC $2 off(1WC Fill 2.00- California Harvest 2.69B 1.081b@1.99/1b TARE=.01 #WT PLUMS BLACK CV 2.15B ITEM=4040 NHP SLICED OVEN RO 3.99B NHP SLICED HICKORY 3.99B 1.641b@1.99/1b TARE=.01 WT GALA APPLES OG 3.26B ITEM=94135 ****TAX 93 BAL 45.44 
12.jpg;4.04;WAL*MART Save money.Live better. WE SELL FOR LESS ALWAYS MANAGER DAPHNE SESSION 636536-4601 CHESTERFIELD,MO 63005 ST#26000P#00001855 TE#17TR#03359 SWFIGURES 065356920144 6.63X TOOTHBRUSH 003500055500 0.96X SUBTOTAL 7.59 WOMEN SLIPPE009725614790 9.86X SUBTOTAL 17.45 TAX 1 3.100% 0.54 TAX 3 4.350% 0.76 TOTAL 18.75 MCARD TEND 18.75 ACCOUNT #3546 APPR0VAL #007190 TRANS ID - VALIDATION PAYMENT SERVICE -A CHANGE DUE 0.00 #ITEMS SOLD 3 TC#9489 7094 6487 3073 3651 Wal-Mart exclusive Eagles CD available October 30th 10/20/07 13:48:43 **CUSTOMER COPY*** 
13.jpg;5.02;ID# .1SWQY8KCH Walmart Save money.Live better 8432920362 MANAGER MICHAEL EEIGHARD 2014SR8YST ORENCE SC29505 51#0230P#00949E49TR 0/142 GIFTCARD 08/458604333 50.00 SUBIOIAL 50.00 TOTAI 50.0 CASHTN) 60.00 CHANGED 10.00 SHOP.CARI ACIIVAIION 50.00 ACCOUNI 613968546249/29 APPR.C0DE792986 REF0083742 Beg Bal ran Am End Bal 0.00 50.00 50.00 08/11/17 19:19:31 ICH97365895923/23331932 Low Pr ices You Ca Trust Eyery Day. 08/11/17 19.40 Store teceipls o your rne Walnart P ay 
14.jpg;7.67;JOY XHAHT See back of receipt for your chance to win $1000 wovaewweh ID# 7L0RX4K8PJX Walmart Save money.Live better. 937644-2800 MANAGER CHRISTOPHER WOOD 555 COLEMANS CROSSING BLVII MARYSVILLE OH 43040 08890 ST#015950P#007573TE#10TR 3.88 X EQUATE LINER068113186503 7.48 VFUS ENG POM 005100024543 5. .97 DAWN ORIG 003700011045 1 50YD PKGTAPE 007535307841 1 50YD PKGTAPE 007535307841 5 LINT R0LLER2 005114123488 25. 35 SUBTOTAL 1. 25 TAX 1 7.000% TOTAL 6.60 DEBIT TEND 0.00 CHANGE DUE PAY FROM PRIMARY EFT DEBIT 26.60TOTAL PURCHASE S ************371 ACCOUNT# REF#712400283994 NETW0RK ID. 0069 APPR C0DE 868483 Wooora TERMINAL#SC010087 s0165p 19:54:16 05/04/17 #ITEMS SOLD6 TC#7535052323841061 368 05/04/17 19:54:18 Walmart P Store receipts an your phone. ay. 
15.jpg;6.39;86W.WD to win $1000 ID 7JYY2JW0K3Y ebeotiig shsboo Walmart W.eb Save money.Live better. uq on 714799-0020 MANAGER YVONNE THOMAS 11609l 13331 BEACH BLVD orsiw WESTMINSTER CA 92683 DIABETES 068113131172H 12.58N SUBTOTAL 12.58 we TOTAL 12.58 ioitto VISA TEND 12.58 at10 3670 I1 Visa Credit HOYA AHT APPROVAL#222235 REF#620500604401 TRANS ID-586205139884060 VALIDATION -76LK PAYMENT SERVICE -E W.woh AID A0000000031010 TC 9E0FAC9A809E5D92 xds2s TERMINAL281767447 w.ooote *NO SIGNATURE REQUIRED 07/22/16 20:53:11 CHANGE DUE 0.00 #ITEMS SOLD1 TC#75030129108976494115 Low Prices You Can Trust.Every Day 07/22/16 20:53:11 *CUSTOMER COPY*** viua.xuin Savings Catcher! Scan with Walmart app UOXXMAHT 
16.jpg;6.57;See back of receipt for your chance to win $1000 ID# 7L2T9WJM25F Walmart Save money.Live better. 701223-3066 MANAGER TIM MORRIS 2717 ROCK ISLAND PI BISMARCK ND 58504 ST#015340P#009048 TE#48TR#04455 6WING PLATE 020108870398 3.98P ASST27 063099656595 4.88 CUTIE CAR 063099656644 12.88X SUBTOTAL 21.74 TAX 1 6.500% 1.15 TAX4 7.500% 0.30 TOTAL 23.19 DEBIT TEND 23.19 CHANGE DUE 0.00 EFT DEBIT PAY FROM PRIMARY 23.19 TOTAL PURCHASE US DEBIT ********2696I0 REF#731700494718 NETWORK ID.0081 APPR C0DE 936886 US DEBIT AID A0000000980840 TC58B77239DA5B3B44 *NO SIGNATURE REQUIRED TERMINAL#SC011090 11/13/1712:34:04 #ITEMS SOLD3 TC#21887274 6444 15673762 Low Prices You Can Trust.Every Day. 11/13/17 12:34:11 Store receipts on your phone.Walmart P ay. 
17.jpg;7.28;to win $1000 ID#7KZGF1SL2FF Walmart Save money.Live better. 970259-8755 MANAGER MIKE NEIDL INGER 1155 S CAMINO DEL RIO DURANGO CO 81303 ST#02270 0P#000144TE#02 TR#03080 BANANAS 000000004011KI 1.75 1b11b/0.54 0.95R BEVERAGE 003120002133 2.00R OS CRAN POM C 003120027015 2.00 R STRWBRY CC 076471782200 0.96 Y CAMPARI TOM 073447501213 2.98R KFT SINGLES 002100061526 3.78 Y 44500982114 004450098211 3.98 Y HARD SALAMI 020533960343 3.43 Y AVOCADO 000000004046KI 4AT1 FOR 0.44 1.76R PILLS WHITE 068113113619 1.00 Y SH NYLON COL 007417024836 2.97 HAND CLEANER 004125100005 1.67X INJECTR CLNR 004980710003 8.87 X SUBTOTAL 36.35 TAX1 7.900% 1.07 TAX 2 5.000% 1.14 TAX 6 2.900% 0.12 TOTAL 38.68 CASHTEND 40.68 CHANGE DUE 2.00 #ITEMS SOLD16 TC#3041 7466 06697952 272 01/15/17 14:26:03 
